,price,price_open,price_high,price_low,change
532,424.88,424.88,424.88,424.88,424.88
533,426.36,426.36,426.36,426.36,426.36
534,421.13,421.13,421.13,421.13,421.13
535,440.27,440.27,440.27,440.27,440.27
536,440.48,440.48,440.48,440.48,440.48
537,438.70,438.70,438.70,438.70,438.70
538,419.99,419.99,419.99,419.99,419.99
539,421.50,421.50,421.50,421.50,421.50
540,414.86,414.86,414.86,414.86,414.86
541,407.27,407.27,407.27,407.27,407.27
542,399.90,399.90,399.90,399.90,399.90
543,408.30,408.30,408.30,408.30,408.30
544,392.99,392.99,392.99,392.99,392.99
545,382.98,382.98,382.98,382.98,382.98
546,378.00,378.00,378.00,378.00,378.00
547,380.89,380.89,380.89,380.89,380.89
548,373.97,373.97,373.97,373.97,373.97
549,370.49,370.49,370.49,370.49,370.49
550,372.01,372.01,372.01,372.01,372.01
551,373.75,373.75,373.75,373.75,373.75
552,386.54,386.54,386.54,386.54,386.54
553,389.80,389.80,389.80,389.80,389.80
554,368.98,368.98,368.98,368.98,368.98
555,372.90,372.90,372.90,372.90,372.90
556,371.42,371.42,371.42,371.42,371.42
557,365.50,365.50,365.50,365.50,365.50
558,376.96,376.96,376.96,376.96,376.96
559,377.63,377.63,377.63,377.63,377.63
560,378.39,378.39,378.39,378.39,378.39
561,394.97,394.97,394.97,394.97,394.97
562,391.32,391.32,391.32,391.32,391.32
563,390.98,390.98,390.98,390.98,390.98
564,402.77,402.77,402.77,402.77,402.77
565,385.57,385.57,385.57,385.57,385.57
566,380.96,380.96,380.96,380.96,380.96
567,411.00,411.00,411.00,411.00,411.00
568,419.41,419.41,419.41,419.41,419.41
569,378.96,378.96,378.96,378.96,378.96
570,387.04,387.04,387.04,387.04,387.04
571,382.07,382.07,382.07,382.07,382.07
572,388.42,388.42,388.42,388.42,388.42
573,358.85,358.85,358.85,358.85,358.85
574,429.25,429.25,429.25,429.25,429.25
575,431.08,431.08,431.08,431.08,431.08
576,432.05,432.05,432.05,432.05,432.05
577,449.26,449.26,449.26,449.26,449.26
578,449.35,449.35,449.35,449.35,449.35
579,449.23,449.23,449.23,449.23,449.23
580,454.00,454.00,454.00,454.00,454.00
581,459.05,459.05,459.05,459.05,459.05
582,427.99,427.99,427.99,427.99,427.99
583,431.84,431.84,431.84,431.84,431.84
